Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
41.94622,-122.40157,2019-06-16,91.3,53.1,73.4,40.3,,87.2,0.0,0.0,0.0,0.0,20.9,25.3,190.96,9.9,1.0,33.43,1013.7,579.5,35.5,,,Clear
1.0,1.0,2009-05-25,,,,,,,,,,,,,,,,,,,,,,
40.679318,-120.392768,2019-07-05,87.9,50.1,71.0,38.7,,84.2,0.0,0.0,0.0,0.0,12.8,,208.89,9.9,2.6,35.66,1019.5,343.3,28.4,,,Clear
